Hit;Engine;Elapsed_time(ms)
20;ShExML-v0.5.1.jar;4664
21;ShExML-v0.5.1.jar;4683
22;ShExML-v0.5.1.jar;4813
23;ShExML-v0.5.1.jar;4826
24;ShExML-v0.5.1.jar;4685
25;ShExML-v0.5.1.jar;4838
26;ShExML-v0.5.1.jar;4689
27;ShExML-v0.5.1.jar;4870
28;ShExML-v0.5.1.jar;4713
29;ShExML-v0.5.1.jar;4847
30;ShExML-v0.5.1.jar;4864
