Hit;Engine;Elapsed_time(s);CPU_user(s);CPU_kernel(s);CPU_Percentage;MaxMemory(Kbytes)
26;ShExML-v0.4.0;21.97;27.07;0.38;124%;330444
27;ShExML-v0.4.0;20.72;25.58;0.37;125%;333552
28;ShExML-v0.4.0;22.25;27.74;0.41;126%;333840
29;ShExML-v0.4.0;21.87;27.08;0.30;125%;355240
30;ShExML-v0.4.0;22.39;27.79;0.41;125%;356972
1;ShExML-v0.4.2;20.76;24.96;0.27;121%;356868
2;ShExML-v0.4.2;21.42;26.34;0.41;124%;375540
3;ShExML-v0.4.2;21.12;25.73;0.38;123%;337876
4;ShExML-v0.4.2;22.22;27.38;0.44;125%;325804
5;ShExML-v0.4.2;21.80;26.60;0.45;124%;333480
6;ShExML-v0.4.2;21.37;26.16;0.43;124%;343376
7;ShExML-v0.4.2;21.42;26.52;0.38;125%;370768
8;ShExML-v0.4.2;21.15;26.15;0.36;125%;335536
9;ShExML-v0.4.2;21.52;26.58;0.28;124%;325680
10;ShExML-v0.4.2;21.23;25.81;0.41;123%;336832
11;ShExML-v0.4.2;21.35;26.18;0.36;124%;309764
12;ShExML-v0.4.2;21.09;26.03;0.51;125%;367000
13;ShExML-v0.4.2;22.34;27.28;0.46;124%;370868
14;ShExML-v0.4.2;20.59;25.25;0.31;124%;319272
15;ShExML-v0.4.2;20.80;25.34;0.35;123%;340384
16;ShExML-v0.4.2;20.26;24.77;0.38;124%;368508
17;ShExML-v0.4.2;19.69;24.21;0.33;124%;353384
18;ShExML-v0.4.2;21.44;25.79;0.41;122%;347936
19;ShExML-v0.4.2;21.24;25.70;0.62;123%;337400
20;ShExML-v0.4.2;21.99;26.77;0.47;123%;321456
21;ShExML-v0.4.2;22.64;27.73;0.45;124%;322596
22;ShExML-v0.4.2;21.26;25.94;0.36;123%;334160
23;ShExML-v0.4.2;20.72;25.26;0.42;123%;324248
24;ShExML-v0.4.2;21.52;26.53;0.55;125%;336884
25;ShExML-v0.4.2;21.58;26.48;0.43;124%;360840
26;ShExML-v0.4.2;21.20;26.38;0.46;126%;371616
27;ShExML-v0.4.2;22.36;27.53;0.44;125%;369920
28;ShExML-v0.4.2;22.40;26.97;0.45;122%;325228
29;ShExML-v0.4.2;20.45;25.16;0.42;125%;351376
30;ShExML-v0.4.2;23.04;28.22;0.41;124%;336228
1;ShExML-v0.5.1;5.38;7.80;0.44;153%;387988
2;ShExML-v0.5.1;5.18;8.13;0.41;164%;392936
3;ShExML-v0.5.1;4.54;7.46;0.31;171%;462420
4;ShExML-v0.5.1;4.85;7.55;0.42;164%;417484
5;ShExML-v0.5.1;4.68;7.38;0.31;164%;406396
6;ShExML-v0.5.1;4.78;7.37;0.51;165%;422940
7;ShExML-v0.5.1;4.87;7.66;0.39;165%;418948
8;ShExML-v0.5.1;4.86;7.67;0.40;165%;429488
9;ShExML-v0.5.1;4.46;7.12;0.31;166%;409088
10;ShExML-v0.5.1;4.54;7.16;0.26;163%;416272
11;ShExML-v0.5.1;4.56;6.95;0.31;159%;406116
12;ShExML-v0.5.1;4.40;6.96;0.24;163%;457560
13;ShExML-v0.5.1;4.55;6.98;0.30;160%;454584
14;ShExML-v0.5.1;4.51;6.96;0.34;161%;427636
15;ShExML-v0.5.1;4.35;6.80;0.29;163%;419608
16;ShExML-v0.5.1;4.61;7.23;0.31;163%;415716
17;ShExML-v0.5.1;4.53;7.25;0.32;167%;403140
18;ShExML-v0.5.1;4.41;6.98;0.30;165%;413416
19;ShExML-v0.5.1;4.42;6.99;0.31;165%;411700
20;ShExML-v0.5.1;4.33;7.07;0.37;171%;432588
21;ShExML-v0.5.1;4.70;7.36;0.37;164%;408616
22;ShExML-v0.5.1;4.57;6.91;0.42;160%;434408
23;ShExML-v0.5.1;4.63;7.12;0.46;163%;469364
24;ShExML-v0.5.1;4.43;6.91;0.33;163%;425080
25;ShExML-v0.5.1;4.46;6.94;0.34;163%;404632
26;ShExML-v0.5.1;4.67;7.26;0.44;164%;403328
27;ShExML-v0.5.1;4.57;7.05;0.37;162%;439904
28;ShExML-v0.5.1;4.34;6.88;0.30;165%;430140
29;ShExML-v0.5.1;4.36;7.07;0.26;168%;422692
30;ShExML-v0.5.1;4.47;7.00;0.41;165%;411628
