Hit;Engine;Elapsed_time(ms)
20;ShExML-v0.5.1.jar;2394
21;ShExML-v0.5.1.jar;2512
22;ShExML-v0.5.1.jar;2354
23;ShExML-v0.5.1.jar;2632
24;ShExML-v0.5.1.jar;2419
25;ShExML-v0.5.1.jar;2819
26;ShExML-v0.5.1.jar;2582
27;ShExML-v0.5.1.jar;2410
28;ShExML-v0.5.1.jar;2414
29;ShExML-v0.5.1.jar;2414
30;ShExML-v0.5.1.jar;2446
